DOES STANCE SURVIVE A READOUT THAT RESPECTS TIME?
Representation held fixed, readout varied. 'shuffled' applies the same
readout to frame-shuffled clips, so it matches on dimensionality and on
every feature's marginal distribution but destroys order.

Every score is the mean over 25 independent episode-to-fold
partitions, with its sd. A single partition is not a stable measurement:
holding everything else constant, fold assignment alone moves macro-F1 by
sd 0.010 and range up to 0.06, and sklearn changed its own assignment
between 1.7 and 1.9. Partitions are defined here, not by GroupKFold, so
these numbers do not depend on which sklearn is installed.

'order' is PAIRED: real minus shuffled on each partition separately, then
averaged. Partition noise is shared by both and cancels, so its sd is much
smaller than the sd of either column. t is order / stderr(order).
========================================================================================================
representation readout     dims  macroF1      ±  shuffled      ±   order      ±      t  chance
wavlm_L21      basis8      8192    0.539  0.013     0.444  0.010  +0.095  0.015   31.1     nan
wavlm_L21      seg4        8192    0.592  0.013     0.548  0.013  +0.043  0.015   14.9     nan
wavlm_L22      meanstd     2048    0.522  0.015         —      —       —      —      —     nan
wavlm_L22      basis8      8192    0.508  0.011     0.415  0.009  +0.093  0.011   41.8     nan
wavlm_L22      seg4        8192    0.547  0.011     0.515  0.015  +0.031  0.019    8.1     nan
wavlm_L23      meanstd     2048    0.500  0.014         —      —       —      —      —     nan
wavlm_L23      basis8      8192    0.520  0.012     0.409  0.010  +0.111  0.017   33.2     nan
wavlm_L23      seg4        8192    0.539  0.014     0.486  0.013  +0.053  0.016   16.3     nan
wavlm_L24      meanstd     2048    0.480  0.014         —      —       —      —      —     nan
wavlm_L24      basis8      8192    0.506  0.012     0.419  0.010  +0.087  0.017   25.2     nan
wavlm_L24      seg4        8192    0.517  0.015     0.487  0.016  +0.029  0.018    8.0     nan
hubert_L0      meanstd     2048    0.413  0.011         —      —       —      —      —     nan
hubert_L0      basis8      8192    0.367  0.012     0.345  0.013  +0.021  0.016    6.5     nan
hubert_L0      seg4        8192    0.412  0.009     0.429  0.012  -0.018  0.017   -5.3     nan
hubert_L1      meanstd     2048    0.408  0.015         —      —       —      —      —     nan
hubert_L1      basis8      8192    0.383  0.013     0.370  0.012  +0.013  0.017    3.8     nan
hubert_L1      seg4        8192    0.431  0.010     0.419  0.014  +0.012  0.015    4.0     nan
hubert_L2      meanstd     2048    0.430  0.013         —      —       —      —      —     nan
hubert_L2      basis8      8192    0.412  0.013     0.401  0.011  +0.012  0.015    4.0     nan
hubert_L2      seg4        8192    0.441  0.011     0.442  0.012  -0.001  0.013   -0.5     nan
hubert_L3      meanstd     2048    0.408  0.009         —      —       —      —      —     nan
hubert_L3      basis8      8192    0.425  0.016     0.404  0.012  +0.021  0.021    5.1     nan
hubert_L3      seg4        8192    0.430  0.014     0.431  0.011  -0.001  0.016   -0.3     nan
hubert_L4      meanstd     2048    0.429  0.010         —      —       —      —      —     nan
hubert_L4      basis8      8192    0.428  0.011     0.403  0.012  +0.025  0.017    7.2     nan
hubert_L4      seg4        8192    0.422  0.013     0.432  0.012  -0.010  0.017   -2.8     nan
hubert_L5      meanstd     2048    0.432  0.010         —      —       —      —      —     nan
