rep,readout,dims,f1,f1_sd,shuffled,shuffled_sd,order,order_sd,t,chance,n_partitions,secs
wavlm_L18,basis8,8192,0.5534,0.0126,0.4471,0.0098,0.1063,0.0115,46.21,,25,14.4
wavlm_L18,seg4,8192,0.5766,0.0092,0.5396,0.0144,0.037,0.0177,10.46,,25,19.9
wavlm_L19,meanstd,2048,0.5389,0.0113,,,,,,,25,14.2
wavlm_L19,basis8,8192,0.5531,0.0113,0.4427,0.0122,0.1103,0.0141,39.01,,25,14.1
wavlm_L19,seg4,8192,0.5801,0.0138,0.5461,0.0128,0.0339,0.0179,9.48,,25,20.2
wavlm_L20,meanstd,2048,0.5573,0.0094,,,,,,,25,4.7
wavlm_L20,basis8,8192,0.5555,0.0106,0.4423,0.0094,0.1132,0.0127,44.6,,25,13.8
wavlm_L20,seg4,8192,0.5879,0.0102,0.5533,0.0096,0.0346,0.0123,14.05,,25,20.3
wavlm_L21,meanstd,2048,0.5422,0.0115,,,,,,,25,17.7
wavlm_L21,basis8,8192,0.5388,0.0134,0.4438,0.0095,0.095,0.0153,31.07,,25,14.4
wavlm_L21,seg4,8192,0.5918,0.013,0.5485,0.0126,0.0434,0.0145,14.92,,25,21.0
wavlm_L22,meanstd,2048,0.5219,0.0145,,,,,,,25,12.9
wavlm_L22,basis8,8192,0.5077,0.0105,0.415,0.0091,0.0928,0.0111,41.75,,25,17.6
wavlm_L22,seg4,8192,0.5467,0.0108,0.5154,0.0155,0.0314,0.0194,8.08,,25,24.4
wavlm_L23,meanstd,2048,0.5005,0.0138,,,,,,,25,14.7
wavlm_L23,basis8,8192,0.5197,0.012,0.409,0.0099,0.1108,0.0167,33.24,,25,16.1
wavlm_L23,seg4,8192,0.5388,0.0139,0.4855,0.0125,0.0533,0.0163,16.33,,25,22.2
wavlm_L24,meanstd,2048,0.4802,0.0144,,,,,,,25,13.3
wavlm_L24,basis8,8192,0.5061,0.012,0.4186,0.0099,0.0875,0.0174,25.18,,25,15.5
wavlm_L24,seg4,8192,0.5166,0.0151,0.4872,0.0155,0.0294,0.0184,7.99,,25,19.5
hubert_L0,meanstd,2048,0.4126,0.011,,,,,,,25,15.1
hubert_L0,basis8,8192,0.3667,0.0124,0.3454,0.0133,0.0213,0.0165,6.47,,25,22.7
